Title: Stellar SEDS from 0.3-2.5{mu}m: Tracing the Stellar Locus and Searching 
       for Color Outliers in SDSS and 2MASS 
Authors: Covey  K.R. Ivezic Z., Schlegel D., Finkbeiner D., Padmanabhan N.,
         Lupton R.H., Agueros M.A., Bochanski J.J., Hawley S.L., West A.A., 
         Seth A., Kimball A., Gogarten S.M., Claire M., Haggard D., Kaib N., 
         Schneider D., Sesar B. 
Table: Synthetic SDSS/2MASS Photometry of Pickles (1998) 
       Solar Metallicity Standards
================================================================================
Byte-by-byte Description of file: SolarPickles.tbl
--------------------------------------------------------------------------------
   Bytes Format Units Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   SpType  Spectral type 
   6-  8 A3     ---   LClass  Luminosity class 
  10- 14 F5.2   mag   u-g     The (u-g) color 
  16- 20 F5.2   mag   g-r     The (g-r) color
  22- 26 F5.2   mag   r-i     The (r-i) color
  28- 32 F5.2   mag   i-z     The (i-z) color
  34- 38 F5.2   mag   z-J     The (z-J) color
  40- 44 F5.2   mag   J-H     The (J-H) color
  46- 50 F5.2   mag   H-K     The (H-K_s_) color 
  52- 58 F6.2   mag   JMag    Absolute J band magnitude 
--------------------------------------------------------------------------------
O5   V   -0.39 -0.62 -0.37 -0.35  0.20 -0.23 -0.13  -4.50 
O9   V   -0.32 -0.62 -0.35 -0.36  0.24 -0.16 -0.11  -3.81 
B0   V   -0.25 -0.59 -0.35 -0.32  0.19 -0.11 -0.04  -2.80 
B1   V   -0.13 -0.49 -0.33 -0.26  0.13 -0.06 -0.03  -2.03 
B3   V    0.18 -0.46 -0.26 -0.26  0.20 -0.22 -0.08  -1.55 
B5   V    0.51 -0.39 -0.23 -0.23  0.27 -0.01 -0.02  -1.37 
B8   V    0.75 -0.33 -0.23 -0.17  0.28  0.02  0.02  -1.21 
B9   V    0.86 -0.28 -0.23 -0.18  0.36  0.03 -0.01  -0.53 
A0   V    1.09 -0.25 -0.18 -0.17  0.46  0.02 -0.03   0.43 
A2   V    1.16 -0.23 -0.17 -0.15  0.38 -0.10 -0.01   1.17 
A3   V    1.15 -0.16 -0.15 -0.15  0.39 -0.14 -0.02   1.25 
A5   V    1.20 -0.10 -0.11 -0.10  0.55  0.09  0.01   1.38 
A7   V    1.21 -0.02 -0.08 -0.08  0.53  0.13  0.03   1.73 
