logT    U-V    B-V    V-R    V-I    V-J    V-H    V-K  [Fe/H]  Mbol  BCV
4.600  -1.48  -0.38  -0.17  -0.36  -0.74  -0.99  -1.10  0  -8.9  -3.7
4.550  -1.39  -0.33  -0.19  -0.35  -0.72  -0.90  -0.99  0  -7.8  -3.3
4.450  -1.33  -0.34  -0.16  -0.31  -0.70  -0.83  -0.86  0  -5.9  -2.4
4.350  -1.14  -0.24  -0.12  -0.24  -0.63  -0.73  -0.78  0  -4.7  -2.0
4.280  -0.86  -0.20  -0.10  -0.15  -0.48  -0.73  -0.80  0  -3.5  -1.5
4.150  -0.55  -0.14  -0.07  -0.08  -0.32  -0.37  -0.40  0  -1.0  -1.0
4.070  -0.34  -0.11  -0.03  -0.06  -0.23  -0.26  -0.28  0  -2.1  -0.6
4.030  -0.20  -0.04  -0.34  -0.04  -0.14  -0.15  -0.16  0  -1.0  -0.8
3.980  0.04  0.02  -0.01  0.01  -0.18  0.00  -0.01  0  0.3  -0.3
3.950  0.10  0.03  0.01  0.05  -0.02  -0.15  -0.14  0  1.1  -0.08
3.944  0.15  0.09  0.04  0.10  0.04  -0.13  -0.13  0  1.3  -0.03
3.929  0.24  0.15  0.05  0.16  0.29  0.35  0.36  0  1.7  0.01
3.906  0.30  0.20  0.11  0.24  0.37  0.46  0.47  0  2.1  0.01
3.858  0.35  0.30  0.18  0.38  0.53  0.66  0.68  0  3.0  0.02
3.831  0.39  0.40  0.21  0.46  0.61  0.62  0.65  0  3.3  0.03
3.815  0.42  0.46  0.24  0.50  0.83  1.03  1.06  0.0  3.5  0.00
3.820  0.35  0.44  0.25  0.51  0.78  1.01  1.04  -0.3  3.8  -0.02
3.798  0.48  0.47  0.27  0.56  0.90  1.11  1.13  0.0  3.8  -0.03
3.786  0.56  0.51  0.30  0.60  0.95  1.21  1.24  0.3  3.3  -0.04
3.781  0.60  0.54  0.30  0.62  1.01  1.22  1.25  0.0  4.0  -0.04
3.788  0.53  0.52  0.29  0.59  0.96  1.26  1.29  -0.5  4.3  -0.05
3.761  0.68  0.57  0.33  0.68  1.05  1.36  1.39  0.2  3.7  -0.06
3.764  0.69  0.57  0.32  0.67  1.02  1.28  1.30  0.0  4.2  -0.04
3.767  0.65  0.55  0.32  0.66  0.97  1.31  1.35  -0.8  4.7  -0.05
3.751  0.77  0.59  0.35  0.72  1.08  1.40  1.44  0.4  3.8  -0.08
3.751  0.81  0.63  0.35  0.72  1.21  1.54  1.56  -0.2  4.6  -0.10
3.747  0.95  0.69  0.36  0.74  1.19  1.45  1.51  0.0  4.7  -0.08
3.760  0.77  0.65  0.35  0.69  1.15  1.47  1.54  -0.4  5.0  -0.07
3.748  1.00  0.70  0.38  0.73  1.22  1.58  1.63  0.1  3.9  -0.10
3.727  1.13  0.75  0.41  0.81  1.34  1.69  1.76  0.4  5.1  -0.14
3.715  1.20  0.77  0.45  0.87  1.38  1.83  1.90  0.1  5.4  -0.18
3.719  1.40  0.83  0.46  0.85  1.50  1.96  2.02  0.5  4.7  -0.20
3.689  1.58  0.92  0.52  0.97  1.65  2.14  2.23  0  5.9  -0.29
3.653  1.73  0.93  0.60  1.11  1.81  2.37  2.40  0  6.4  -0.40
3.638  1.95  1.09  0.66  1.23  1.97  2.54  2.64  0  6.7  -0.51
3.622  2.34  1.21  0.75  1.36  2.17  2.77  2.87  0  7.0  -0.64
3.602  2.46  1.38  0.83  1.58  2.40  2.97  3.09  0  7.4  -0.81
3.580  2.51  1.32  0.86  1.71  2.86  3.51  3.68  0  7.5  -1.12
3.566  2.58  1.38  0.88  1.87  2.97  3.62  3.90  0  7.8  -1.25
3.550  2.50  1.44  0.96  2.02  3.29  3.96  4.14  0  8.1  -1.48
3.537  2.67  1.50  1.02  2.25  3.56  4.20  4.41  0  8.4  -1.71
3.519  2.57  1.52  1.07  2.44  3.82  4.45  4.67  0  8.7  -1.93
3.493  3.01  1.59  1.22  2.78  4.42  5.04  5.31  0  9.1  -2.44
3.470  3.02  1.66  1.37  3.14  5.25  6.10  6.39  0  9.5  -3.22
3.431  3.05  1.82  1.65  3.69  6.36  7.03  7.41  0  10.0  -4.2
4.300  -1.15  -0.30  -0.13  -0.24  -0.62  -0.72  -0.74  0  -4.6  -1.9
4.100  -0.42  -0.11  -0.04  -0.09  -0.32  -0.42  -0.45  0  -2.4  -0.8
3.988  -0.01  -0.05  -0.01  -0.00  -0.02  0.02  -0.03  0  -0.1  -0.2
3.900  0.17  0.08  0.04  0.09  0.28  0.39  0.38  0  1.1  0.00
3.847  0.36  0.34  0.20  0.41  0.59  0.70  0.74  0  2.0  0.03
3.817  0.42  0.40  0.24  0.50  0.80  0.97  0.98  0  2.3  -0.01
3.789  0.66  0.55  0.28  0.59  1.03  1.28  1.29  0  2.7  -0.03
3.773  0.79  0.59  0.32  0.64  1.01  1.40  1.39  0  3.2  -0.04
3.755  0.97  0.68  0.34  0.70  1.11  1.40  1.50  -0.1  3.1  -0.05
3.748  1.13  0.75  0.39  0.77  1.21  1.51  1.60  0.1  3.1  -0.08
3.725  1.37  0.82  0.45  0.86  1.40  1.74  1.80  -0.4  3.1  -0.15
3.700  1.65  0.95  0.51  0.96  1.42  1.91  1.99  0.0  2.9  -0.21
3.680  1.71  0.97  0.56  1.04  1.53  2.01  2.10  -0.3  2.8  -0.27
3.660  2.34  1.18  0.62  1.17  1.83  2.32  2.41  0.0  2.6  -0.39
4.500  -1.40  -0.34  -0.16  -0.35  -0.82  -0.83  -0.95  0  -8.7  -3.1
4.300  -1.18  -0.26  -0.14  -0.24  -0.53  -0.62  -0.72  0  -5.9  -1.8
4.230  -0.85  -0.19  -0.12  -0.16  -0.52  -0.52  -0.54  0  -4.6  -1.4
4.170  -0.63  -0.15  -0.08  -0.10  -0.32  -0.42  -0.44  0  -3.5  -1.01
4.045  -0.17  -0.08  -0.03  -0.06  -0.12  -0.22  -0.23  0  -1.3  -0.39
3.981  0.04  0.04  0.00  0.01  -0.02  -0.02  -0.04  0  -0.4  -0.29
3.953  0.24  0.13  0.05  0.08  0.08  -0.05  -0.08  0  0.3  0.08
3.927  0.28  0.18  0.07  0.16  0.29  0.39  0.38  0  0.5  0.04
3.906  0.35  0.21  0.12  0.24  0.40  0.28  0.38  0  1.0  0.05
3.880  0.39  0.27  0.14  0.32  0.49  0.69  0.68  0  1.1  0.05
3.835  0.45  0.42  0.23  0.45  0.69  0.80  0.79  0  1.6  0.03
3.815  0.49  0.43  0.25  0.51  0.80  1.09  1.08  0  1.6  -0.02
3.749  0.94  0.66  0.37  0.73  1.31  1.74  1.76  -0.22  2.0  -0.13
3.713  1.45  0.89  0.45  0.87  1.54  2.01  2.05  -0.12  3.2  -0.21
3.715  1.19  0.81  0.45  0.86  1.47  1.91  2.00  -0.26  2.8  -0.20
3.709  1.43  0.87  0.47  0.89  1.62  2.11  2.21  0.23  3.4  -0.25
3.700  1.63  0.95  0.48  0.93  1.59  2.07  2.12  0.06  3.1  -0.24
3.701  1.51  0.87  0.47  0.92  1.52  2.01  2.10  -0.38  2.7  -0.23
3.686  1.80  0.96  0.50  0.98  1.69  2.19  2.25  -0.08  3.1  -0.29
3.697  1.53  0.95  0.48  0.94  1.62  2.11  2.20  -0.33  2.5  -0.26
3.683  1.90  1.00  0.52  0.99  1.77  2.31  2.40  0.18  3.3  -0.33
3.668  1.99  1.04  0.54  1.04  1.82  2.33  2.41  0.09  1.8  -0.36
3.683  1.84  1.02  0.52  0.99  1.77  2.32  2.41  -0.10  1.2  -0.33
3.662  2.25  1.10  0.56  1.07  1.93  2.51  2.61  0.27  3.2  -0.43
3.649  2.14  1.11  0.59  1.13  1.97  2.62  2.67  0.05  0.9  -0.47
3.666  2.06  1.04  0.54  1.05  1.92  2.51  2.60  -0.38  0.7  -0.42
3.648  2.38  1.19  0.60  1.14  2.08  2.72  2.81  0.24  2.5  -0.52
3.640  2.44  1.21  0.62  1.17  2.22  2.95  3.11  -0.02  0.5  -0.63
3.645  2.17  1.14  0.60  1.16  2.12  2.81  2.90  -0.36  -0.2  -0.57
3.641  2.72  1.31  0.64  1.20  2.28  2.97  3.12  0.27  1.6  -0.65
3.626  2.98  1.43  0.71  1.34  2.42  3.21  3.38  0.09  -0.5  -0.79
3.628  2.75  1.34  0.70  1.32  2.33  3.02  3.22  -0.33  -1.0  -0.73
3.626  2.80  1.41  0.71  1.34  2.49  3.22  3.42  0.15  0.6  -0.83
3.603  3.07  1.42  0.78  1.54  2.67  3.40  3.57  -0.09  -1.3  -0.98
3.601  3.24  1.50  0.81  1.57  2.75  3.53  3.72  0.08  -0.3  -1.05
3.582  3.02  1.43  0.80  1.65  2.81  3.68  3.81  0  -1.9  -1.24
3.577  3.01  1.44  0.83  1.76  2.97  3.87  3.99  0  -2.1  -1.38
3.569  3.05  1.45  0.87  1.86  3.13  4.05  4.23  0  -2.3  -1.53
3.560  2.95  1.43  0.91  2.08  3.44  4.36  4.54  0  -2.5  -1.81
3.551  2.80  1.40  0.99  2.38  3.95  4.88  5.07  0  -2.8  -2.26
3.534  2.39  1.29  1.11  2.77  4.66  5.62  5.84  0  -3.0  -2.92
3.512  2.09  1.23  1.33  3.22  5.55  6.58  6.79  0  -3.5  -3.78
3.495  1.43  1.09  1.65  3.81  6.76  7.82  8.05  0  -3.8  -4.95
3.461  1.05  1.16  1.85  4.11  8.04  9.08  9.36  0  -4.2  -6.15
3.426  0.96  1.17  1.68  3.86  8.03  8.97  9.33  0  -4.6  -6.09
3.398  0.73  1.03  1.67  3.98  8.33  9.11  9.58  0  -5.0  -6.35
